title,year,url,checkedcount,favouritecount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
"Bird Box",2018,http://www.icheckmovies.com/movies/bird+box/,4126,118,0,88,,http://www.imdb.com/title/tt2737304/,"2019-01-02 18:48:44",no,no,no,no
Rampage,2018,http://www.icheckmovies.com/movies/rampage-2018/,2391,50,1,56,,http://www.imdb.com/title/tt2231461/,"2018-12-25 05:53:20",no,no,no,no
211,2018,http://www.icheckmovies.com/movies/211/,97,2,0,4,,http://www.imdb.com/title/tt4976192/,"2018-12-11 05:55:06",no,no,no,no
"Tomb Raider",2018,http://www.icheckmovies.com/movies/tomb+raider/,3555,69,1,59,,http://www.imdb.com/title/tt1365519/,"2018-12-09 22:47:27",no,no,no,no
"The Snowman",2017,http://www.icheckmovies.com/movies/the+snowman-2017/,1113,8,0,46,,http://www.imdb.com/title/tt1758810/,"2018-12-02 03:48:33",no,no,no,no
Cooties,2014,http://www.icheckmovies.com/movies/cooties-2014-1/,685,18,0,45,,http://www.imdb.com/title/tt2490326/,"2018-11-18 00:34:36",no,no,no,no
8MM,1999,http://www.icheckmovies.com/movies/8mm/,5497,140,0,77,,http://www.imdb.com/title/tt0134273/,"2018-11-05 04:58:15",no,no,no,no
"The Equalizer 2",2018,http://www.icheckmovies.com/movies/the+equalizer+2/,1552,27,1,30,,http://www.imdb.com/title/tt3766354/,"2018-11-04 13:28:07",no,no,no,no
"The Meg",2018,http://www.icheckmovies.com/movies/the+meg/,2501,33,2,60,,http://www.imdb.com/title/tt4779682/,"2018-11-04 13:27:51",no,no,no,no
Tag,2018,http://www.icheckmovies.com/movies/tag-2018/,2031,58,0,32,,http://www.imdb.com/title/tt2854926/,"2018-11-04 13:27:24",no,no,no,no
Upgrade,2018,http://www.icheckmovies.com/movies/upgrade/,2462,226,0,116,,http://www.imdb.com/title/tt6499752/,"2018-10-29 22:22:41",no,no,no,no
"Super Troopers 2",2018,http://www.icheckmovies.com/movies/super+troopers+2/,509,10,0,15,,http://www.imdb.com/title/tt0859635/,"2018-10-29 22:22:05",no,no,no,no
Hereditary,2018,http://www.icheckmovies.com/movies/hereditary/,6220,528,5,283,,http://www.imdb.com/title/tt7784604/,"2018-10-29 22:20:47",no,no,no,no
"The Strangers: Prey at Night",2018,http://www.icheckmovies.com/movies/the+strangers+prey+at+night/,472,8,0,38,,http://www.imdb.com/title/tt1285009/,"2018-10-20 02:03:09",no,no,no,no
31,2016,http://www.icheckmovies.com/movies/31-2016/,449,18,0,29,,http://www.imdb.com/title/tt3835080/,"2018-10-19 00:04:44",no,no,no,no
Jigsaw,2017,http://www.icheckmovies.com/movies/jigsaw-2017/,1221,23,0,59,,http://www.imdb.com/title/tt3348730/,"2018-10-13 20:47:38",no,no,no,no
"Vampire's Kiss",1988,http://www.icheckmovies.com/movies/vampires+kiss/,1723,119,3,123,,http://www.imdb.com/title/tt0098577/,"2018-10-11 00:23:21",no,no,no,no
"The Ritual",2017,http://www.icheckmovies.com/movies/the+ritual-2017/,1626,63,0,69,,http://www.imdb.com/title/tt5638642/,"2018-10-10 02:54:15",no,no,no,no
"The Wicker Man",1973,http://www.icheckmovies.com/movies/the+wicker+man/,13725,1026,12,552,,http://www.imdb.com/title/tt0070917/,"2018-10-10 00:12:10",no,no,no,no
"Black Christmas",1974,http://www.icheckmovies.com/movies/black+christmas/,4207,275,3,271,,http://www.imdb.com/title/tt0071222/,"2018-10-10 00:10:52",no,no,no,no
"Murder Party",2007,http://www.icheckmovies.com/movies/murder+party/,627,28,0,98,,http://www.imdb.com/title/tt0878695/,"2018-09-21 13:53:08",no,no,no,no
Tusk,2014,http://www.icheckmovies.com/movies/tusk-2014-1/,1805,57,0,98,,http://www.imdb.com/title/tt3099498/,"2018-09-04 20:28:32",no,no,no,no
Solace,2015,http://www.icheckmovies.com/movies/solace-2015/,808,17,0,20,,http://www.imdb.com/title/tt1291570/,"2018-08-26 03:15:58",no,no,no,no
"Valerian and the City of a Thousand Planets",2017,http://www.icheckmovies.com/movies/valerian+and+the+city+of+a+thousand+planets/,3471,114,1,80,,http://www.imdb.com/title/tt2239822/,"2018-08-08 02:16:39",no,no,no,no
"The Loved Ones",2009,http://www.icheckmovies.com/movies/the+loved+ones/,1987,131,1,141,,http://www.imdb.com/title/tt1316536/,"2018-08-04 04:42:37",no,no,no,no
"Mission: Impossible - Fallout",2018,http://www.icheckmovies.com/movies/mission+impossible+-+fallout/,6449,309,6,170,,http://www.imdb.com/title/tt4912910/,"2018-08-01 13:51:47",no,no,no,no
"Piranha 3D",2010,http://www.icheckmovies.com/movies/piranha+3d/,5443,86,1,141,,http://www.imdb.com/title/tt0464154/,"2018-07-25 23:38:49",no,no,no,no
"The Belko Experiment",2016,http://www.icheckmovies.com/movies/the+belko+experiment/,959,25,0,37,,http://www.imdb.com/title/tt1082807/,"2018-07-23 01:41:00",no,no,no,no
"Worry Dolls",2016,http://www.icheckmovies.com/movies/worry+dolls/,59,0,0,12,"The Devil's Dolls",http://www.imdb.com/title/tt3384350/,"2018-07-20 16:26:56",no,no,no,no
"Triple 9",2016,http://www.icheckmovies.com/movies/triple+9/,1256,19,0,34,,http://www.imdb.com/title/tt1712261/,"2018-07-19 06:06:50",no,no,no,no
Baywatch,2017,http://www.icheckmovies.com/movies/baywatch-2017/,2622,45,1,57,,http://www.imdb.com/title/tt1469304/,"2018-07-19 06:06:10",no,no,no,no
"The Monster",2016,http://www.icheckmovies.com/movies/the+monster-2016/,378,9,0,37,,http://www.imdb.com/title/tt3976144/,"2018-07-17 00:32:55",no,no,no,no
"Before I Wake",2016,http://www.icheckmovies.com/movies/before+i+wake-2016/,785,19,0,34,,http://www.imdb.com/title/tt3174376/,"2018-07-16 21:15:01",no,no,no,no
Jeruzalem,2015,http://www.icheckmovies.com/movies/jeruzalem/,186,2,0,25,,http://www.imdb.com/title/tt4552524/,"2018-07-16 14:47:56",no,no,no,no
"Ant-Man and the Wasp",2018,http://www.icheckmovies.com/movies/ant-man+and+the+wasp/,6943,181,2,157,,http://www.imdb.com/title/tt5095030/,"2018-07-06 23:31:25",no,no,no,no
"Bone Tomahawk",2015,http://www.icheckmovies.com/movies/bone+tomahawk/,2623,198,1,187,,http://www.imdb.com/title/tt2494362/,"2018-06-24 21:21:56",no,no,no,no
"The Disaster Artist",2017,http://www.icheckmovies.com/movies/the+disaster+artist/,4957,312,0,154,,http://www.imdb.com/title/tt3521126/,"2018-06-23 04:42:18",no,no,no,no
"The Descent: Part 2",2009,http://www.icheckmovies.com/movies/the+descent+part+2/,1719,24,0,49,,http://www.imdb.com/title/tt1073105/,"2018-06-20 23:06:36",no,no,no,no
"Matchstick Men",2003,http://www.icheckmovies.com/movies/matchstick+men/,7694,359,0,118,,http://www.imdb.com/title/tt0325805/,"2018-06-20 23:05:58",no,no,no,no
"American Made",2017,http://www.icheckmovies.com/movies/american+made/,2407,90,0,62,,http://www.imdb.com/title/tt3532216/,"2018-06-11 02:32:02",no,no,no,no
"Red Sparrow",2018,http://www.icheckmovies.com/movies/red+sparrow/,2365,54,0,52,,http://www.imdb.com/title/tt2873282/,"2018-06-09 22:37:28",no,no,no,no
"Kingsman: The Golden Circle",2017,http://www.icheckmovies.com/movies/kingsman+the+golden+circle/,5858,175,1,88,,http://www.imdb.com/title/tt4649466/,"2018-06-08 07:11:39",no,no,no,no
